,Florida,California,Texas,New York,North Carolina,Massachusetts,Virginia,Colorado,New Jersey,Arizona,Utah,Georgia,the District of Columbia,Michigan,Washington,Connecticut,South Carolina,Iowa,Pennsylvania,Maryland,Idaho,Louisiana,Illinois,Wyoming,Nevada,Vermont,Oregon,Kansas,Rhode Island,Minnesota,New Hampshire,Indiana,Missouri,Alabama,Montana,Ohio,Nebraska,West Virginia,Mississippi,Delaware,Tennessee,New Mexico,Maine,Wisconsin,Oklahoma,Hawaii,Arkansas,North Dakota,Kentucky,South Dakota,Alaska
2001-09-01,123756.99463242172,235702.84719436252,117990.3903118123,173672.3719262502,140210.21973858972,249639.61764883038,143782.410916923,217131.4885408935,201053.1246204175,149705.04726963444,181538.6191862894,143430.6775802196,191699.46362524855,131671.94895023457,193892.32828581522,189510.55996663906,125206.30126178166,99748.22542763507,110586.27311262477,169414.4615737266,133977.5315793775,120699.90639636753,147287.92339436422,,170806.9596440131,132037.94222015762,164181.03218962692,99131.26402171767,159523.85176438486,154921.0298560344,167890.00079934686,104255.37348434696,111076.56711191656,108454.6187126474,,115183.44478360073,111550.85692907067,81391.39065867483,98269.69359980145,166342.5250075245,120585.3361510202,,127866.13082792996,133642.09381940073,91819.21641421349,213175.93463679487,97360.258879149,,99509.18078156647,110831.84498785717,165801.13095613205
2001-10-01,124887.94252421032,237786.88836984232,118149.24855619516,174991.26331871908,140607.14446972733,252959.07186874573,144852.45877176122,218475.06909316662,203355.7750564733,150378.0826422746,181808.24662037668,144143.14608706417,194021.01716319655,132355.98387964105,194714.94779250413,191653.68552744482,125529.17475577851,100191.01249685098,111106.10686499374,170664.47454125556,134481.98356133388,121174.6947548081,148784.38096080534,,171812.218564814,132883.67489354822,164758.08094449196,99559.9329315857,161888.62017278865,156764.4530659817,169764.81313325162,104570.0306747787,111736.34867114085,108800.35410692387,,115595.96063054279,111782.76367884777,81664.53012911079,98755.52244608972,167211.8152581482,120966.82088259392,,128864.86122562648,134355.69606642888,92143.15020523092,214553.5949853939,97560.4041334376,,99820.25321667816,111044.35766564321,166630.3992102484
2001-11-01,125972.56501547784,239744.71419688384,118265.31634724441,176371.9162344574,140917.10177061512,256220.1682450208,145959.91126184646,219569.94562945972,205461.7426603697,151075.43082345964,182005.29202014938,144788.82987437578,196237.05161939634,132976.80767641743,195438.26748228073,193526.2846318036,125867.43212420131,100619.02621860488,111633.9702486494,171888.27272718956,134802.61542049528,121629.35817387087,149926.20798548285,,172751.70204498884,133889.0340879323,165272.00899182083,99974.4232690971,164003.17739826572,158518.8538817323,171573.48441904376,104815.54371301444,112439.33223755914,109139.35605848434,,115968.73927977281,112011.1168178733,81829.34846459361,99119.81445598403,168116.09190289254,121279.39338216795,,130049.92028455732,135034.38575041015,92410.23679554141,215776.63710151936,97698.24833275356,,100117.34934751148,111297.69823754074,167582.37139898396
2001-12-01,127036.30834101315,241575.5343030464,118359.08557860697,177837.8960385622,141188.7975631603,259290.05076979558,147011.01841755363,220429.91072577346,207359.63536034097,151727.46580813164,182094.21159845823,145390.6576390963,198484.59265923532,133551.3640253265,196322.3418778364,195078.22302073534,126205.92144768989,101057.54589855376,112133.28617265534,173131.3926445029,135086.01313036965,122032.88507432067,150771.1177437399,,173724.41157547513,134938.76034349718,165815.29219154484,100399.61399831528,166065.6592270497,160020.22636647653,173366.17560677344,105150.17819595529,113152.87507089278,109391.17292484075,,116305.87442599593,112260.24631130614,81943.34382675374,99406.99335625487,169039.79353775983,121517.15353125353,,131201.35005500962,135686.0240370682,92648.13537879678,216866.73165008123,97779.44200347042,,100385.48366665504,111466.1150781879,168655.59869843992
2002-01-01,127996.75014900038,243054.7650398818,118391.08034962711,179285.28187375338,141416.44131836807,261786.41797995582,147997.31197716107,220917.90321854874,209135.61252674335,152272.7287852458,182116.1858111712,145902.84681745913,200638.52163556078,134144.90077352777,197069.40452953576,196304.1032268542,126463.6572012949,101345.73755005463,112630.09227553783,174381.46858909624,135267.62668140934,122340.2520923465,151354.37347484793,,174602.69309655405,136033.8455717696,166335.89439067667,100802.28399809609,167749.61337257104,161266.88437803197,175155.9088228816,105198.9483129258,113803.61387381429,109539.93022227449,,116591.17386063095,112567.96938107365,82036.34572841166,99549.24596662637,169982.65279515964,121688.00768586477,,132514.04113395864,136302.16246894439,92874.86770784688,217641.66989499042,97873.644877633,,100608.13421651314,111598.77178183594,169442.1811131919
2002-02-01,128885.17094682842,244567.09285646467,118479.77629319388,180599.29850037178,141609.01172384308,263924.80442904314,148975.1046236709,221355.56984518524,210964.4816317958,152766.46200790678,182033.6624279834,146396.19124066352,202798.77290556088,134653.4818355673,197796.98120572045,197423.44406635486,126618.87003077671,101535.48318193392,113122.1278199256,175588.23257819656,135532.9538393201,122684.3874006127,152036.52045232753,,175376.1411503296,137117.77944032024,166843.62564777065,101138.49895149162,169488.23907572395,162307.38300584236,176873.73219884955,105185.44621948752,114422.78830254202,109700.59036452655,,116825.33647025896,112863.37143144477,82246.7415880864,99597.33794235544,170930.2529695514,121872.87767981522,,133838.82246285203,136872.72098953053,93154.46373799832,218650.03237023414,98023.91637547017,,100829.41787613805,112073.79295576934,170071.7301722696
2002-03-01,129753.78330484894,246337.23441675515,118702.03574036853,181713.70924323515,141792.24271451405,266103.07891448017,150000.76266819847,221981.7815219824,212833.06316510504,153302.6857842561,182085.32727290262,146844.56634195606,204805.05021498457,135100.87975851542,198436.27246431584,198714.952239002,126753.72975826869,101631.82374155657,113635.14794968748,176799.83569195247,135736.55692097938,123084.55595728627,152865.30824037004,,176227.2098838666,138235.78135019122,167340.4325356213,101440.00026835741,171188.94211738635,163266.86213816772,178398.76737254087,105012.02824393107,114956.38912793924,109835.90507809097,,117050.35142556153,113230.71945719981,82544.93425873737,99639.15270752076,171941.48778342127,122064.34620325152,,135239.49478404358,137393.02827899737,93418.87196381419,219805.6690086187,98213.93384172955,,101037.09948201403,112451.14672827111,170596.25646953305
2002-04-01,130731.13264280627,248725.77723731,119092.88985072885,182812.26197884115,141912.7833690185,268421.6498286476,151159.83764995358,222794.61828089284,214716.00653865506,153898.30504313318,182215.45191478348,147323.21417938764,207134.2818042373,135428.7250857406,199021.258036328,200239.23614121965,126879.22672000753,101891.19847265685,114199.69269400975,178160.6074612512,135957.5236871835,123555.92760826701,153639.12278990474,145027.63307466602,177197.2776405527,139312.70099843034,167854.76354054036,101720.93404126086,173141.14160930083,164180.8712276241,180017.2150457528,104861.6830109307,115465.23731223727,109989.1199334003,,117277.82027011052,113530.24051528069,82801.34661659446,99596.10031003847,173001.80042455732,122237.54877141437,135792.39717060636,136680.36506137642,137891.33578212277,93699.08441606273,221287.22773870864,98434.6180761244,,101250.18371337274,112710.8069241761,171457.1850304012
2002-05-01,131803.4782476568,251514.67977540017,119553.36190517941,183983.32686921302,142099.8991017632,270924.9590496258,152353.50202164383,223713.10865235515,216669.20795301348,154502.8203531583,182329.01962450994,147811.48505125972,209756.2226587726,135763.47485929282,199533.76227998742,202041.4001239652,127100.75870497226,102282.15694671603,114816.55604936743,179863.57023065715,136202.89682435454,124422.44130282056,154459.70586559086,143738.53649433254,178291.32397439633,140322.21580528628,168506.4460326781,101733.58957975224,175414.16260099804,165365.41475641608,181569.02040538765,104897.77720253896,115997.25050217402,110184.16391812237,,117547.21431001202,113946.63239267083,83019.80948783079,99708.45312072022,174051.19128971963,122430.85405563183,136023.01969269174,138052.70649461556,138417.205105953,93945.1490102629,222596.47235628552,98720.25635962786,,101447.50862841278,112816.43450887647,172230.0263908104
2002-06-01,132924.67144088473,254608.98192409554,120069.2583260067,185343.11512561,142296.16706134076,273527.3203722447,153671.95179809388,224491.0072261158,218862.2206994254,155182.6005006815,182429.68900162625,148311.60310917502,212669.50945386835,136133.85849347914,199992.41721738855,204097.2683330829,127337.76448551063,102791.86135056608,115495.73693387075,181815.58128891027,136565.38284103386,125243.2317617759,155269.04344973792,143151.13539446818,179213.8927884591,141308.67833038964,169285.0281854717,101662.76480044874,177934.55056156777,166580.4011303405,183304.55888767226,105165.35223443009,116610.66812157044,110426.87742852404,,117848.81365974255,114277.04984694331,83229.5216549062,99899.6082049387,175168.83624314124,122652.22743688025,136125.17479549287,139481.91083566923,138988.64723932886,94196.64184177306,224039.44077996435,99061.37583403387,,101667.08853652845,113175.96890815337,172853.38935358336
